year,ADM1_NAME,ADM2_NAME,Stability_Zone,Area_Sleikh,Area_Under_Trees,Area_Total,Production,Yield_kg_ha,Area_Rainfed,Production_Rainfed,Yield_Rainfed_kg_ha,Total_Production,Shape_Area,Shape_Leng,annual_rain_mm,aridity_index,aspect_deg,bulk_dens,cec_cmol_kg,clay_pct,cropland,elevation_m,et_mm,gdd_annual,grassland,gwt_depth_m,max_temp_c,mean_temp_c,min_temp_c,moisture_pct,ndvi_peak,ndvi_std,pet_mm,ph,ph_quality,rain_cv_pct,rainy_days,rainy_rain_mm,sand_pct,silt_pct,slope_deg,soc_g_kg,thermal_suit,water_occurrence,id,frost_days,heatstressdays
2004,Homs,Tall_Kalakh,1,2909,0,2909,9076,3120,3231,4581,1417,13657,0.061265386,1.382119937,1763.371248,48.6760063,213.4968276,1.371293035,28.50363662,371.8628808,1,462.9664108,693.8983642,12168.11012,1,86.9397267,25.74826823,16.90015294,7.249091974,19.19852908,0.646014747,0.116854407,3621.67035,7.036198454,98.79338486,102.8467833,99.11400291,758.9369258,256.0800903,370.1287946,2.899572474,38.32373734,96.57230253,63.89144317,2353,,
2004,Hama,Hama,2,70,0,70,0,0,20,0,0,0,0.227677668,4.733216797,854.2153212,24.39982953,192.7904067,1.455316559,28.89107986,399.9433813,1,367.8882638,472.4507038,12784.69935,1,25.04294796,28.15932693,17.75652687,6.176370229,13.48218522,0.513190554,0.104672225,3499.906923,7.530149647,82.32834509,100.6526403,91.74939391,394.5803469,199.991121,385.7041579,0.890006436,18.48653952,98.53413217,22.43352601,2345,,
2004,Hama,Hama,3,315,0,315,0,0,0,0,0,0,0.227677668,4.733216797,854.2153212,24.39982953,192.7904067,1.455316559,28.89107986,399.9433813,1,367.8882638,472.4507038,12784.69935,1,25.04294796,28.15932693,17.75652687,6.176370229,13.48218522,0.513190554,0.104672225,3499.906923,7.530149647,82.32834509,100.6526403,91.74939391,394.5803469,199.991121,385.7041579,0.890006436,18.48653952,98.53413217,22.43352601,2345,,
2004,Hama,Hama,4,381,0,381,1959,5141.732283,0,0,0,1959,0.227677668,4.733216797,854.2153212,24.39982953,192.7904067,1.455316559,28.89107986,399.9433813,1,367.8882638,472.4507038,12784.69935,1,25.04294796,28.15932693,17.75652687,6.176370229,13.48218522,0.513190554,0.104672225,3499.906923,7.530149647,82.32834509,100.6526403,91.74939391,394.5803469,199.991121,385.7041579,0.890006436,18.48653952,98.53413217,22.43352601,2345,,
2004,Hama,Al_Ghab,1,4784,0,4784,22628,4729.93311,127,0,0,22628,0.049595436,1.643165164,1619.44551,48.79831691,139.7759455,1.347860465,28.59829587,349.5799349,1,352.189296,956.2618512,11850.64189,1,139.7020723,26.11561902,16.45922485,6.155916022,28.75971485,0.667755042,0.109289703,3317.650339,6.782044179,92.73480597,102.7148366,107.8420566,687.3904254,280.5196852,361.9957542,4.508295663,42.21571718,94.05271344,35.28868661,2342,,
2004,Idleb,Idleb,1,4370,0,4370,21894,5010.06865,8474,21643,2554.047675,43537,0.125820372,2.188331063,1102.585467,32.06712398,133.1604544,1.441830046,29.96636028,396.7139838,1,349.4829207,579.1314183,12484.21588,1,18.66965742,28.00408697,17.33918873,5.897763851,16.82364932,0.591957344,0.120681925,3437.367181,7.363514149,87.8828617,100.2852302,96.06875003,493.5158649,201.4720497,378.6673336,0.928862474,24.86059375,99.08107844,24.08243728,2358,,
2004,Idleb,Idleb,2,1057,0,1057,5773,5461.684011,7231,17246,2385.008989,23019,0.125820372,2.188331063,1102.585467,32.06712398,133.1604544,1.441830046,29.96636028,396.7139838,1,349.4829207,579.1314183,12484.21588,1,18.66965742,28.00408697,17.33918873,5.897763851,16.82364932,0.591957344,0.120681925,3437.367181,7.363514149,87.8828617,100.2852302,96.06875003,493.5158649,201.4720497,378.6673336,0.928862474,24.86059375,99.08107844,24.08243728,2358,,
2004,Idleb,Idleb,3,1253,0,1253,6534,5214.684757,5412,12563,2321.322986,19097,0.125820372,2.188331063,1102.585467,32.06712398,133.1604544,1.441830046,29.96636028,396.7139838,1,349.4829207,579.1314183,12484.21588,1,18.66965742,28.00408697,17.33918873,5.897763851,16.82364932,0.591957344,0.120681925,3437.367181,7.363514149,87.8828617,100.2852302,96.06875003,493.5158649,201.4720497,378.6673336,0.928862474,24.86059375,99.08107844,24.08243728,2358,,
2004,Idleb,Harim,1,647,0,647,3209,4959.814529,353,871,2467.422096,4080,0.076955511,1.744823344,1262.438648,37.61273307,208.4698796,1.397594182,27.2782689,356.5012631,1,400.6489695,547.1849605,12100.58401,1,91.8753057,27.51901264,16.80636669,5.719943248,16.3228571,0.497392113,0.080009999,3355.412962,7.125463716,95.81787612,93.33899435,108.7440432,570.9437331,243.3845318,396.2349649,3.52892128,34.93256475,96.03638107,7.104166667,2357,,
2004,Idleb,Al_Ma'ra,1,741,0,741,4947,6676.11336,10494,28911,2755.002859,33858,0.219400577,2.789560748,981.1078451,28.88280248,161.5969773,1.44106543,30.50289991,387.8445436,1,426.7153644,495.1245461,12463.44268,1,29.05957912,27.99098124,17.31033705,5.735174544,14.58409446,0.563325132,0.121696039,3395.858203,7.422356298,85.92145674,103.6446441,93.40441828,435.9463525,211.8633148,395.4624714,1.089096217,21.8826255,98.91621171,2.740740741,2355,,
2004,Idleb,Al_Ma'ra,2,210,0,210,869,4138.095238,13053,20629,1580.402972,21498,0.219400577,2.789560748,981.1078451,28.88280248,161.5969773,1.44106543,30.50289991,387.8445436,1,426.7153644,495.1245461,12463.44268,1,29.05957912,27.99098124,17.31033705,5.735174544,14.58409446,0.563325132,0.121696039,3395.858203,7.422356298,85.92145674,103.6446441,93.40441828,435.9463525,211.8633148,395.4624714,1.089096217,21.8826255,98.91621171,2.740740741,2355,,
2004,Idleb,Al_Ma'ra,3,0,0,0,0,0,3245,2168,668.1047766,2168,0.219400577,2.789560748,981.1078451,28.88280248,161.5969773,1.44106543,30.50289991,387.8445436,1,426.7153644,495.1245461,12463.44268,1,29.05957912,27.99098124,17.31033705,5.735174544,14.58409446,0.563325132,0.121696039,3395.858203,7.422356298,85.92145674,103.6446441,93.40441828,435.9463525,211.8633148,395.4624714,1.089096217,21.8826255,98.91621171,2.740740741,2355,,
2004,Idleb,Ariha,1,345,0,345,1515,4391.304348,777,2103,2706.563707,3618,0.06189382,1.20144567,1222.21157,36.22747012,178.7756591,1.396585143,27.93576679,350.6523137,1,582.149967,521.4364215,11593.55664,1,87.67581128,26.46915931,16.102162,5.380374414,15.46343596,0.4576139,0.075758543,3372.714934,7.15618642,94.79378601,106.311357,97.34530193,547.7594113,264.1637633,380.2716742,2.592602428,31.56046909,92.01235429,35.35190616,2356,,
2004,Tartous,Tartous,1,6032,0,6032,25274,4190,347,1162,3348.70317,26436,0.049162657,1.417978043,1946.719812,53.72719261,226.602822,1.337365278,24.38800112,328.0083572,1,151.3380759,870.9635257,13307.05593,1,85.26540945,26.43344388,18.48202212,9.988166645,24.06022446,0.579063973,0.073570849,3622.341771,6.801489796,93.38299321,102.470699,101.4075782,785.2004058,293.3316743,364.969705,1.987711269,46.76351549,94.38844502,64.49344978,2365,,
2004,Tartous,Banyas,1,22,0,22,54,2454.545455,915,1418,1549.726776,1472,0.064347484,1.259569202,2146.772586,60.57879057,227.2029485,1.248880866,25.12215029,311.6023136,1,597.2024401,815.615671,11522.57927,1,239.5189203,25.15813268,16.00358232,6.684955758,23.01293579,0.555566792,0.068353139,3542.769305,6.402940695,80.09802315,101.9273229,103.1564506,886.1705899,311.2379664,363.3411414,4.321198421,51.28226288,91.44904185,78.70526316,2361,,
